id;jhi_rank;type;status;path_url;banner_url;remark
1;6634;Global;Unavailable;Bedfordshire;generating mobile Customer;Switchable Assistant
2;79608;Global;Unavailable;Synchronised;Buckinghamshire collaboration;Facilitator Alabama Steel
3;98929;General;Available;Principal teal;Underpass global orchid;Organic
4;8412;General;Unavailable;uniform e-markets Guatemala;real-time Sleek Zimbabwe Dollar;transmitting
5;37306;Global;Available;Common Quality deposit;matrix Garden;application bandwidth
6;65362;Global;Available;violet;turquoise;Soap
7;1684;General;Unavailable;Incredible;Rubber extensible haptic;Rhode Island Frozen
8;4182;General;Available;compress application;Awesome GB;Directives cyan B2B
9;21179;Global;Available;Music;bypassing SMS;quantifying
10;73090;Global;Unavailable;productize;Comoro Franc Applications Corporate;wireless Mouse Steel
