id;job_code;mobile;microapp_url;injection_flag;injection_api_uri;muc_app_id
1;Incredible Mauritius;Analyst;Russian Ruble;invoice;Berkshire Oregon;PNG
2;Rustic overriding;Gloves;Kentucky;Brand;Denar Home Loan Account;e-tailers dynamic
3;frame didactic Incredible;Credit Card Account;calculating Credit Card Account transmitter;Small functionalities;Cape Verde high-level incremental;panel
4;Cross-platform;online program;Meadow SCSI;Orchestrator hacking;optical;alarm projection Compatible
5;Vanuatu Automated Granite;invoice;vortals Indiana;Mayotte;Berkshire;Coordinator
6;Kuwait Research Money Market Account;neural Solutions;Paradigm;Cotton cutting-edge;cohesive connecting;Dynamic Persistent Metal
7;Frozen Personal Loan Account bus;supply-chains;compelling Romania dot-com;Checking Account Computers;Chair;3rd generation Generic Granite Soap Gorgeous Steel Keyboard
8;Games;compress Architect user-centric;utilisation Auto Loan Account;Credit Card Account connecting deploy;middleware Wooden Rustic;Mountain Program orchid
9;PNG Investor;maroon;Practical feed;ROI program;parsing;eyeballs
10;benchmark Automotive;intermediate 4th generation Shoes;Front-line hybrid directional;value-added;Virginia navigating;azure Ergonomic
