id;name;name_py;code;parent_dep_id;parent_dep_name;status;disporder;name_path;code_path;dep_id_path;dep_level;alive_flag;rec_create_time;rec_creator;rec_revise_time;rec_revisor;dept_user_count;microapp_id;en_name;only_code;src_dept_id;src_dept_type;src_type;src_dept_ucode
1;connect back up;Money Market Account;Games;parsing experiences;Bedfordshire methodologies Shirt;Metal New York;Ergonomic;Awesome;withdrawal Clothing;deploy Circle Savings Account;quantify;Tasty synthesize;2020-11-26T11:39:06;transmit;2020-11-26T21:08:04;grid-enabled e-commerce;deposit;Home Hat Solutions;synergies Expressway;auxiliary Extended Customer;architect Small Frozen Chair project;digital;Buckinghamshire;even-keeled Serbia
2;generating;feed;directional Borders;Avon;Sleek;orchid Soft dot-com;Soap South Carolina;Rubber;Buckinghamshire Sausages Usability;salmon;Mountain Jordanian Dinar;Solutions;2020-11-26T05:12:05;vortals Money Market Account Self-enabling;2020-11-26T12:23:07;microchip;Quetzal firewall cross-media;Louisiana;program;back-end JSON;Product frictionless Grocery;Papua New Guinea Concrete;input;Cheese user-facing parse
3;JBOD invoice;TCP client-server;Lead impactful SQL;THX;Ergonomic Bolivia;Nicaragua India hacking;Tuna Investor;Cross-platform Music;real-time indigo Keyboard;panel;SSL;Handcrafted Cotton Hat Virtual;2020-11-26T08:24:21;GB Principal THX;2020-11-26T13:42:58;Grocery magenta;bus;Fresh Cliff hacking;Consultant Heights;virtual override;Centralized Executive;Movies Awesome;Open-architected niches;Spurs capacity
4;Tasty JSON;Won;Assurance;Jordanian Dinar navigating;rich Avon;relationships Haiti;Chicken;Mouse violet Falkland Islands (Malvinas);systems Technician Re-engineered;synergies alarm SSL;Architect Gorgeous Concrete Fish;functionalities;2020-11-26T19:07:38;Forint application Investment Account;2020-11-27T02:47:22;withdrawal;e-services;Pennsylvania quantifying;Coordinator;yellow deposit;Human;Directives copying paradigm;Lake digital;Sleek Rubber Keyboard
5;background HDD;Steel Soft;Planner Administrator;olive Ball;Hat Bedfordshire Accountability;THX Vermont Director;Saint Helena Accountability Credit Card Account;Run visionary;Sharable incentivize;Turkey;Tennessee Beauty;granular;2020-11-27T00:42:15;payment;2020-11-26T18:10:41;Quality interactive;card Money Market Account Computers;Cheese Reunion;initiative Burundi;orange;gold Brand;SAS;Gorgeous Steel Soap;Small withdrawal Bermuda
6;robust Avon;Germany Personal Loan Account Investor;Gloves Manager;Functionality Refined Fresh Gloves;connect tan port;Branch;Assistant;Indian Rupee optical Auto Loan Account;software;coherent;Grocery white Unbranded;Specialist quantifying;2020-11-27T01:21:06;invoice rich;2020-11-26T14:04:12;Coordinator Cocos (Keeling) Islands;Tenge;sensor generating;parse collaborative;methodology;Pine Customer maximized;Sports Saint Lucia redundant;e-services reciprocal orange;Supervisor panel
7;SDR e-commerce Refined;monitoring;logistical Forward;Metrics;sensor hack override;fuchsia revolutionary Gourde US Dollar;mindshare Awesome Plastic Fish;synthesize wireless rich;Squares users;Bedfordshire;Electronics hacking programming;Rwanda;2020-11-26T06:19:31;value-added next-generation primary;2020-11-27T01:13:54;Unbranded Plastic Chair;Innovative;Towels open-source Cambridgeshire;Strategist Cotton;haptic markets;SCSI;revolutionize;Personal Loan Account lavender Car;Practical Concrete Hat Denar applications
8;Nevada technologies software;Group intuitive;transition JBOD Tasty Rubber Cheese;clear-thinking;solutions;back-end;Turnpike IB;Knolls parse Books;payment;empower;Awesome Plastic Gloves;Credit Card Account mobile;2020-11-26T10:37:14;Buckinghamshire hard drive ROI;2020-11-26T03:11:12;New Mexico orange connecting;open-source online;system-worthy;withdrawal;Florida Avon;Washington;Awesome Rubber Hat efficient Avon;open system;Village withdrawal Facilitator
9;viral;synergistic;deposit indigo;Kids application;withdrawal Savings Account;viral Steel gold;contingency plum PNG;array Frozen Licensed Granite Computer;XML;port;optical compelling;North Dakota Wooden incubate;2020-11-26T07:25:18;XML hack Auto Loan Account;2020-11-26T22:09:34;system;Officer Gloves;New Mexico;online bluetooth Danish Krone;Gloves Fresh;Mouse;Spring Global;partnerships Plaza applications;alarm
10;logistical;Gorgeous violet;bypass Greens Multi-channelled;Camp Avon;maroon SMTP plum;transmitter Savings Account;Panama reboot Graphical User Interface;Orchard Utah;impactful synthesizing New York;complexity bluetooth;Savings Account Utah solution-oriented;Checking Account Outdoors;2020-11-27T01:15:17;Concrete niches;2020-11-26T08:37:58;Pennsylvania synergies;out-of-the-box users;purple;portal;Cloned;Costa Rican Colon;Pakistan;systems primary Latvian Lats;Kentucky
