id;code;portal_id;title;cat_id;data_url;sort;data_url_param;is_top;content_type;type;is_deleted
1;Awesome haptic Brazilian Real;Mandatory Samoa;Dynamic Checking Account;backing up;Indian Rupee;quantifying Berkshire;Mobile;Top;Html;Personal;true
2;Nakfa;Ergonomic Soft Towels interface red;JSON;Personal Loan Account;ROI Table Baby;Auto Loan Account navigate Vista;Mobile;EnTop;Image;OA;false
3;Shoes invoice;Bedfordshire Mobility;District Cambridgeshire;Saint Lucia Bermuda Awesome;redundant;Ameliorated;Email;EnTop;List;General;true
4;impactful Kids Refined;azure transmitter;haptic Practical Wooden Soap Multi-lateral;violet;Handcrafted;Sports;JobCode;Top;List;Personal;true
5;optimize Extended;Web Bedfordshire Internal;Realigned frame Dynamic;Cambridgeshire;1080p District help-desk;Intelligent Frozen Table;Mobile;NotTop;List;OA;true
6;value-added Automotive;Handcrafted;connect transmitter microchip;enhance system blue;Implementation one-to-one;out-of-the-box capacitor Crest;Mobile;Top;List;OA;false
7;payment Savings Account;Response;Table;Granite;Generic dynamic;Jordan virtual;JobCode;NotTop;Html;General;false
8;circuit;bus;strategic;Frozen Field payment;Money Market Account;Managed productize;JobCode;EnTop;Image;General;false
9;override Paradigm;ivory wireless;Shoes deposit;SMS Home Tajikistan;invoice Senior;enterprise indexing Product;JobCode;Top;List;OA;false
10;cross-platform;Investment Account;solid state deposit Gold;Connecticut International parse;Savings Account Wooden Technician;Mauritius Rupee;JobCode;EnTop;Image;OA;false
