id;muc_app_owner;muc_app_id;muc_app_url;muc_app_name;muc_app_name_en
1;Cotton Exclusive THX;fuchsia;interface bus Dynamic;overriding;Dynamic back-end brand
2;yellow Handmade Fresh Sausages Dobra;Grove SCSI indexing;Representative Ergonomic calculate;Mali Squares;Metrics Personal Loan Account Saint Martin
3;bleeding-edge;non-volatile COM Small Fresh Table;object-oriented;Generic Metal Sausages;Lock
4;Pizza Health;Gateway;Plastic RSS wireless;infrastructures deposit;Fantastic
5;Unbranded Frozen Fish;cross-platform Fresh Mill;Factors Generic Rubber Fish Buckinghamshire;auxiliary virtual;Indian Rupee Ngultrum 6th generation
6;ubiquitous implementation contextually-based;Cambodia;1080p XML withdrawal;Tuna Palladium Minnesota;Berkshire United States of America
7;Switchable Metal;metrics navigating;Handmade Granite Bike monitor Sleek Concrete Hat;Hat Auto Loan Account empower;Buckinghamshire Coordinator orange
8;core Chief;Shores;Corporate navigate Buckinghamshire;challenge composite bandwidth;backing up experiences back up
9;Ecuador Village Port;Port lime COM;synthesize;copy invoice Integration;payment
10;Self-enabling;Soft;Refined Plastic Gloves Program asymmetric;Stream methodologies Colorado;bluetooth synergize
