id;cat_code;parent_cat_id;level_number;is_leaf;business_code;endpoint_url;icon_img;banner_img;thumbnail;sort_code;system_type;content_owner_code;lable;is_new;status;open_method;language;is_fixed;tag_key_01;tag_val_01;tag_key_02;tag_val_02;tag_key_03;tag_val_03;cat_name;filter_sql;sharing_flag;category;img_class;is_internal;custom_flag;portal;description;business_unit;business_owners;business_owners_mobile
1;Solutions withdrawal;Barbados Dollar Lead invoice;54035;Argentina innovative Metal;navigate copy Missouri;Directives frame ROI;Integration;SMS Global Human;Wooden;Corporate New York;CFP Franc;cyan e-enable;Outdoors;NotNew;OffLine;PopUp;EN;Fixed;payment Consultant Auto Loan Account;auxiliary Ball;quantifying auxiliary;SSL engineer;best-of-breed;Personal Loan Account;Bike web-enabled;Buckinghamshire;withdrawal;transform Ergonomic;Practical Wooden Pizza Unbranded;architect Customer;Pa'anga calculating interactive;Soft global Bacon;Michigan;Coordinator New Hampshire;1080p;Handmade Cotton Sausages
2;Ergonomic yellow;Ergonomic Steel Fish Hawaii Producer;24607;online Nigeria parse;online ADP markets;Checking Account Extended;Central;Expanded bricks-and-clicks Buckinghamshire;artificial intelligence Buckinghamshire hacking;Saint Martin projection;zero tolerance;Utah granular Rhode Island;Ireland Fiji Dollar;NotNew;OnLIne;PopUp;EN;NotFixed;synthesize;Human Executive;sticky project Sleek Concrete Ball;Coordinator Concrete;Guam;Grocery challenge;Licensed Plastic Bike Optimization;compress Manat generate;Practical Frozen Salad Common;gold;interfaces overriding Forward;turquoise New Mexico;Personal Loan Account;synthesize bypass Maldives;web-enabled Ergonomic full-range;Fantastic;bluetooth;Facilitator
3;collaborative withdrawal;Coves District;43917;optical Sleek Devolved;24/7 Producer;compressing harness transmit;Money Market Account;hard drive SQL;Village virtual Future-proofed;back-end Prairie;calculating;monitor;Credit Card Account;New;OnLIne;PopUp;EN;Fixed;Chair;Personal Loan Account Rhode Island;US Dollar Mountain;Buckinghamshire architectures copying;Aruban Guilder Manager Vista;Lead copying;incubate Interactions;Borders Bridge synthesize;Parkway;Gorgeous;array;reinvent;Investor Clothing RSS;Associate withdrawal JSON;SQL;Wyoming adapter;payment Baby Data;Shoes back-end Towels
4;Handcrafted unleash transition;Personal Loan Account invoice New Hampshire;26843;info-mediaries applications copy;quantify;Producer;Direct;violet;quantify Officer Personal Loan Account;Future calculating;TCP Senior;Mount;Direct;New;OnLIne;PopUp;ZH;NotFixed;GB rich;Frozen reboot;feed Village;North Dakota Facilitator Croatian Kuna;Automotive pixel;Towels;Lek Trinidad and Tobago Dollar bandwidth;Handcrafted Fresh Chair Pizza leverage;pricing structure users client-server;Handmade panel visionary;mint green programming;Cross-platform Buckinghamshire;Expanded Handmade Plastic Tuna recontextualize;Pine synthesize;azure superstructure;Swedish Krona Congolese Franc SDD;Convertible Marks Mauritius Rupee;auxiliary orchid yellow
5;Beauty Generic;viral;70027;Granite exuding;Team-oriented;pink superstructure applications;payment;Mills Pataca index;Manat magnetic transmit;maroon;methodology Turks and Caicos Islands;orchestrate Fish;Egyptian Pound;NotNew;OffLine;PopUp;ZH;NotFixed;North Carolina;Intelligent;3rd generation;infrastructures;EXE ivory Home Loan Account;Integrated Wooden;back-end Keyboard Home Loan Account;Avon users Upgradable;AI Auto Loan Account;dot-com SCSI Dynamic;Factors;copying transmit compress;proactive cross-media;AGP;24/7;empower Bedfordshire Identity;Paradigm digital;Australian Dollar Quetzal
6;e-tailers morph;HDD North Carolina;29829;client-driven Principal;Checking Account;client-server Fresh Credit Card Account;Ohio Shoes Home Loan Account;monetize Personal Loan Account;CSS;Kina;Pants;Future;Investor Eritrea;New;OffLine;PopUp;ZH;NotFixed;Home Loan Account;azure relationships;teal turn-key bandwidth;Bike compress distributed;applications deposit;Communications Operations;protocol Wooden vertical;Savings Account;Books Savings Account;New Hampshire;contextually-based Generic Rubber Gloves EXE;impactful;Kwacha;protocol;Refined Sleek Wooden Chips;IB;Accounts;Steel 24 hour Money Market Account
7;Awesome Concrete Computer Designer Licensed Wooden Chicken;Games;20534;Chad HTTP Auto Loan Account;deposit Incredible Concrete Soap;functionalities Operations Auto Loan Account;Georgia Senior Rupiah;Hat;override;Incredible;Technician dot-com compress;digital motivating;coherent Hat;NotNew;OnLIne;PopUp;EN;Fixed;Rustic Plastic Bike Pants Berkshire;Cotton;Plaza Buckinghamshire panel;infrastructure;GB attitude-oriented;Tasty Wooden Mouse;deposit Tuna;Avenue;Designer monetize Awesome;Checking Account static;calculating disintermediate bypass;Rue Intuitive compress;24 hour;Identity secondary;Customer;sexy Grass-roots Program;Coves;Implementation
8;Computers programming Agent;Consultant Fresh;4819;withdrawal feed holistic;Fish Guinea Franc;Louisiana Grocery;Tuna;Sleek;e-enable Global Future;Avon;Sleek Soft Bike;Colombian Peso Unidad de Valor Real;unleash Cambridgeshire moratorium;NotNew;OnLIne;PopUp;ZH;NotFixed;Reverse-engineered Ball integrated;Florida high-level;Savings Account;XML Isle Rustic;Shoes non-volatile calculate;engage Practical Soft Gloves;Generic Concrete Ball Denar;SQL;monitor Future TCP;Auto Loan Account Burgs;Iowa navigate communities;Incredible Cotton Hat;Borders Azerbaijan Lek;RAM Quality auxiliary;Fords navigating;Refined Rubber Bike;Neck;Avon Dynamic
9;Soap PCI;Russian Federation digital bus;85573;Robust infomediaries Electronics;Table hack;plum;Hryvnia Research infrastructures;Borders;deliverables Accountability;Brand Supervisor;Home Books;bus cutting-edge Strategist;efficient circuit;New;OffLine;Nesting;EN;Fixed;Refined;auxiliary context-sensitive Bolivar Fuerte;1080p;Grocery panel Maine;orchid panel;Multi-layered card Practical Rubber Shoes;Re-contextualized;Montenegro Buckinghamshire full-range;New Hampshire California;markets vortals maroon;programming North Korean Won Savings Account;expedite Metal;hierarchy withdrawal;white;Frozen Bedfordshire Cambridgeshire;pixel Chair;Kuwaiti Dinar;SAS Central even-keeled
10;paradigm Path;Integrated Personal Loan Account Bridge;78392;Optimization;Electronics port invoice;Corporate;Communications Jordanian Dinar calculate;frame Soap XSS;Handcrafted Rubber Tuna orchid;HDD alarm initiatives;synthesize Berkshire;Tasty Investment Account;Saint Helena Pound Music;New;OnLIne;PopUp;ZH;NotFixed;azure innovative;Handmade Granite Fish;Incredible;copy Washington;Gloves;Auto Loan Account;Avon didactic California;Island Automotive SCSI;Cambridgeshire;Moroccan Dirham;Village copying XSS;Direct redundant;Credit Card Account Liechtenstein Pants;Enterprise-wide;Analyst Quality;Engineer Cambridgeshire;Inverse Rapids;interactive Extended parse
