id;name;code;admin_group_id;if_public;style_id;is_deleted
1;Optional;SDD Awesome;Avon Granite Universal;input functionalities secondary;indexing Forward;false
2;Baby Summit;Executive Investor Home;Sleek;deposit;Checking Account lime;false
3;Sleek Rubber Soap Home Tactics;deposit;Unbranded Vista;Future collaboration;Legacy deposit platforms;false
4;Internal payment;bleeding-edge mobile emulation;Refined Rubber Towels Rubber;copying silver Jewelery;Toys;true
5;out-of-the-box;Pakistan Rupee Facilitator;Tunnel homogeneous;Movies disintermediate Isle;override Montenegro;false
6;deposit Synergistic;User-centric;Wooden;Table Savings Account Garden;Hawaii;true
7;enterprise Car Open-architected;Savings Account Bedfordshire;reboot Sports Inverse;ROI Senior;Fantastic;true
8;parsing Personal Loan Account models;salmon Technician Mayotte;Courts;Intelligent bleeding-edge;Tuna;false
9;Utah;communities Dynamic productivity;Plaza;Markets Bedfordshire;Vermont;false
10;Mouse Gabon;networks Bacon Ergonomic;bypass national;Marshall Islands wireless;human-resource;true
