id;code;name;language;portal_id;is_deleted
1;Generic Identity Ford;Salad Iceland;invoice;Argentine Peso Soft;false
2;Incredible;input;reboot;Open-architected;true
3;pixel stable attitude-oriented;Quality;New York Rubber Ferry;implement Books;false
4;UIC-Franc;Synergized Granite;web services;Garden Chips Engineer;true
5;vortals Engineer AGP;Pants;port;GB;false
6;Gorgeous Frozen Mouse Up-sized;models Investor;Maine digital;Supervisor;false
7;cross-media Practical;orchestration;Cambridgeshire Bedfordshire;array;true
8;Vermont Home Loan Account;interface Georgia;Refined Concrete Sausages;Steel user-facing;true
9;Bedfordshire Buckinghamshire 24/365;Malagasy Ariary Quality Gloves;Practical Frozen Mouse scale Games;neural payment solution;false
10;optical out-of-the-box transmit;SSL;SDD Checking Account Credit Card Account;South Dakota Factors Shirt;true
